t; x; y; theta
53731702.455000; 0.00; 0.00; 90.82
53747843.291000; 0.00; 0.00; 90.85
53764998.950001; 0.00; 0.00; 90.89
53781402.833000; 0.00; 0.00; 90.92
53801339.335000; 0.00; 0.00; 90.96
53816172.937000; 0.00; 0.00; 90.99
53829294.546000; 0.00; 0.00; 91.01
53844422.489000; 0.00; 0.00; 91.05
53861277.532000; 0.00; 0.00; 91.08
53878103.081000; 0.00; 0.00; 91.11
53895727.151000; 0.00; 0.00; 91.15
53908653.332001; 0.00; 0.00; 91.17
53924857.572001; 0.00; 0.00; 91.21
53939541.146001; 0.00; 0.00; 91.23
53956924.161001; 0.00; 0.00; 91.27
53985074.541000; 0.00; 0.00; 91.28
53996144.959001; 0.00; 0.00; 91.27
54006728.615001; 0.00; 0.00; 91.26
54021865.737000; 0.00; 0.00; 91.25
54035882.077000; 0.00; 0.00; 91.24
54053235.702001; 0.00; 0.00; 91.23
54069031.459001; 0.00; 0.00; 91.21
54083775.860001; 0.00; 0.00; 91.20
54101612.987000; 0.00; 0.00; 91.19
54120835.053000; 0.00; 0.00; 91.17
54131562.979001; 0.00; 0.00; 91.16
54147639.490001; 0.00; 0.00; 91.15
54164279.949000; 0.00; 0.00; 91.14
54182504.488001; 0.00; 0.00; 91.12
54198780.411000; 0.00; 0.00; 91.11
54213430.531000; 0.00; 0.00; 91.10
54229604.703001; 0.00; 0.00; 91.09
54245350.437000; 0.00; 0.00; 91.07
54262647.340001; 0.00; 0.00; 91.06
54276947.755000; 0.00; 0.00; 91.05
54291860.428000; 0.00; 0.00; 91.04
54308646.262000; 0.00; 0.00; 91.02
54325475.320000; 0.00; 0.00; 91.01
54339672.090000; 0.00; 0.00; 91.00
54356415.123000; 0.00; 0.00; 90.99
54374387.245001; 0.00; 0.00; 90.97
54387624.704000; 0.00; 0.00; 90.96
54403754.488001; 0.00; 0.00; 90.95
54429039.302000; 0.00; 0.00; 90.93
54440038.938000; 0.00; 0.00; 90.92
54460007.774001; 0.00; 0.00; 90.91
54473998.569000; 0.00; 0.00; 90.89
54489106.744000; 0.00; 0.00; 90.88
54502282.502001; 0.00; 0.00; 90.87
54516345.712001; 0.00; 0.00; 90.86
54531639.973001; 0.00; 0.00; 90.85
54547926.265000; 0.00; 0.00; 90.83
54566259.630000; 0.00; 0.00; 90.82
54579578.556001; 0.00; 0.00; 90.81
54596361.526000; 0.00; 0.00; 90.80
54612063.511001; 0.00; 0.00; 90.78
54628646.206000; 0.00; 0.00; 90.77
54646811.007000; 0.00; 0.00; 90.76
54664405.948002; 0.00; 0.00; 90.74
54677797.825001; 0.00; 0.00; 90.73
54691896.894000; 0.00; 0.00; 90.72
54707776.293000; 0.00; 0.00; 90.71
54724093.541000; 0.00; 0.00; 90.69
54748385.380000; 0.00; 0.00; 90.67
54758926.391001; 0.00; 0.00; 90.67
54773863.328001; 0.00; 0.00; 90.65
54787738.090000; 0.00; 0.00; 90.64
54806180.930000; 0.00; 0.00; 90.63
54821240.215000; 0.00; 0.00; 90.62
54837899.450000; 0.00; 0.00; 90.60
54853338.748000; 0.00; 0.00; 90.59
54868281.717000; 0.00; 0.00; 90.58
54885505.785001; 0.00; 0.00; 90.57
54899808.018000; 0.00; 0.00; 90.55
54917185.260000; 0.00; 0.00; 90.54
54931782.433001; 0.00; 0.00; 90.53
54947665.665002; 0.00; 0.00; 90.52
54975217.158001; 0.00; 0.00; 90.50
54987652.938000; 0.00; 0.00; 90.50
54998941.440001; 0.00; 0.00; 90.50
55013515.297000; 0.00; 0.00; 90.50
55027952.241000; 0.00; 0.00; 90.50
55043822.976001; 0.00; 0.00; 90.50
55061495.375000; 0.00; 0.00; 90.50
55075590.581000; 0.00; 0.00; 90.50
55093806.212001; 0.00; 0.00; 90.50
55107551.560000; 0.00; 0.00; 90.50
55124608.723001; 0.00; 0.00; 90.50
55141070.168001; 0.00; 0.00; 90.50
55157294.558001; 0.00; 0.00; 90.50
55172908.146001; 0.00; 0.00; 90.50
55192335.876000; 0.00; 0.00; 90.50
55205296.492001; 0.00; 0.00; 90.50
55219679.039001; 0.00; 0.00; 90.50
55235721.925000; 0.00; 0.00; 90.50
55253472.646001; 0.00; 0.00; 90.50
55270351.894000; 0.00; 0.00; 90.50
55285470.350000; 0.00; 0.00; 90.50
55302273.741000; 0.00; 0.00; 90.50
55316036.390000; 0.00; 0.00; 90.50
55331907.952001; 0.00; 0.00; 90.50
55349063.071000; 0.00; 0.00; 90.50
55365484.963000; 0.00; 0.00; 90.50
55379949.541000; 0.00; 0.00; 90.50
55397053.994000; 0.00; 0.00; 90.50
55420881.839000; 0.00; 0.00; 90.50
55434001.691000; 0.00; 0.00; 90.50
55445421.875001; 0.00; 0.00; 90.50
55460145.419001; 0.00; 0.00; 90.50
55484310.957001; 0.00; 0.00; 90.50
55498943.920000; 0.00; 0.00; 90.50
55508998.973001; 0.00; 0.00; 90.50
55525959.413000; 0.00; 0.00; 90.50
55539848.293000; 0.00; 0.00; 90.50
55555812.392000; 0.00; 0.00; 90.50
55574596.135000; 0.00; 0.00; 90.50
55593600.091001; 0.00; 0.00; 90.50
55604194.081000; 0.00; 0.00; 90.50
55622384.671000; 0.00; 0.00; 90.50
55638649.809001; 0.00; 0.00; 90.50
55653959.038000; 0.00; 0.00; 90.50
55667627.275001; 0.00; 0.00; 90.50
55685166.234000; 0.00; 0.00; 90.50
55700957.970000; 0.00; 0.00; 90.50
55716195.349001; 0.00; 0.00; 90.50
55731913.541000; 0.00; 0.00; 90.50
55749028.182000; 0.00; 0.00; 90.50
55765193.919001; 0.00; 0.00; 90.50
55782104.606000; 0.00; 0.00; 90.50
55803317.247001; 0.00; 0.00; 90.50
55821127.080000; 0.00; 0.00; 90.50
55835639.048000; 0.00; 0.00; 90.50
55846446.895000; 0.00; 0.00; 90.50
55860759.290000; 0.00; 0.00; 90.50
55875710.360001; 0.00; 0.00; 90.50
55903295.987000; 0.00; 0.00; 90.50
55912863.290000; 0.00; 0.00; 90.50
55924949.766001; 0.00; 0.00; 90.50
55940559.072000; 0.00; 0.00; 90.50
55955658.292001; 0.00; 0.00; 90.50
55981558.936001; 0.00; 0.00; 90.50
55997981.672000; 0.00; 0.00; 90.50
56011543.767000; 0.00; 0.00; 90.50
56019585.630001; 0.00; 0.00; 90.50
56037264.923000; 0.00; 0.00; 90.50
56054783.976001; 0.00; 0.00; 90.50
56069414.470000; 0.00; 0.00; 90.50
56086121.898000; 0.00; 0.00; 90.50
56104466.122001; 0.00; 0.00; 90.50
56116184.433001; 0.00; 0.00; 90.50
56133244.438001; 0.00; 0.00; 90.50
56148787.622000; 0.00; 0.00; 90.50
56163638.385000; 0.00; 0.00; 90.50
56180820.465001; 0.00; 0.00; 90.50
56197170.244000; 0.00; 0.00; 90.50
56212993.021001; 0.00; 0.00; 90.50
56230247.139000; 0.00; 0.00; 90.50
56246114.345000; 0.00; 0.00; 90.50
56260145.698000; 0.00; 0.00; 90.50
56277226.165000; 0.00; 0.00; 90.50
56292818.340000; 0.00; 0.00; 90.50
56310477.081000; 0.00; 0.00; 90.50
56324337.216001; 0.00; 0.00; 90.50
56341177.438001; 0.00; 0.00; 90.50
56359859.703001; 0.00; 0.00; 90.50
56371603.657001; 0.00; 0.00; 90.50
56389941.595000; 0.00; 0.00; 90.50
