t; x; y; theta
66642898.112000; -0.40; 0.00; -30.11
66659031.865000; -0.40; 0.00; -30.11
66676442.333000; -0.40; 0.00; -30.11
66692942.201000; -0.40; 0.00; -30.11
66706726.519000; -0.40; 0.00; -30.11
66724877.619000; -0.40; 0.00; -30.11
66740046.465000; -0.40; 0.00; -30.11
66755845.683000; -0.40; 0.00; -30.11
66770917.212000; -0.40; 0.00; -30.11
66788833.680000; -0.40; 0.00; -30.11
66802596.622000; -0.40; 0.00; -30.11
66818744.212000; -0.40; 0.00; -30.11
66834528.326000; -0.40; 0.00; -30.11
66850625.669000; -0.40; 0.00; -30.11
66869205.592000; -0.40; 0.00; -30.11
66883301.495000; -0.40; 0.00; -30.11
66898846.842000; -0.40; 0.00; -30.11
66914565.746000; -0.40; 0.00; -30.11
66932195.948000; -0.40; 0.00; -30.11
66947904.186000; -0.40; 0.00; -30.11
66963378.831000; -0.40; 0.00; -30.11
66985148.991000; -0.40; 0.00; -30.11
66994472.530000; -0.40; 0.00; -30.11
67010538.688000; -0.40; 0.00; -30.11
67028330.936000; -0.40; 0.00; -30.11
67043857.644000; -0.40; 0.00; -30.11
67064244.024000; -0.40; 0.00; -30.11
67076890.568000; -0.40; 0.00; -30.11
67090982.236000; -0.40; 0.00; -30.11
67111215.899000; -0.40; 0.00; -30.11
67123004.047000; -0.40; 0.00; -30.11
67140402.540000; -0.40; 0.00; -30.11
67155040.977000; -0.40; 0.00; -30.11
67170834.995000; -0.40; 0.00; -30.11
67188398.693000; -0.40; 0.00; -30.11
67202601.060000; -0.40; 0.00; -30.11
67218855.770000; -0.40; 0.00; -30.11
67236758.924000; -0.40; 0.00; -30.11
67251499.442000; -0.40; 0.00; -30.11
67273394.272000; -0.40; 0.00; -30.11
67282834.695000; -0.40; 0.00; -30.11
67298617.131000; -0.40; 0.00; -30.11
67314957.766000; -0.40; 0.00; -30.11
67331726.988000; -0.40; 0.00; -30.11
67349736.780000; -0.40; 0.00; -30.11
67362502.604000; -0.40; 0.00; -30.11
67378548.296000; -0.40; 0.00; -30.11
67394585.603000; -0.40; 0.00; -30.11
67410668.807000; -0.40; 0.00; -30.11
67429038.239000; -0.40; 0.00; -30.11
67448378.890000; -0.40; 0.00; -30.11
67458649.512000; -0.40; 0.00; -30.11
67475097.262000; -0.40; 0.00; -30.11
67490930.924000; -0.40; 0.00; -30.11
67507157.314000; -0.40; 0.00; -30.11
67523117.499000; -0.40; 0.00; -30.11
67539885.013000; -0.40; 0.00; -30.11
67554468.512000; -0.40; 0.00; -30.11
67571558.595000; -0.40; 0.00; -30.11
67587447.853000; -0.40; 0.00; -30.11
67604241.695000; -0.40; 0.00; -30.11
67618558.349000; -0.40; 0.00; -30.11
67634611.078000; -0.40; 0.00; -30.11
67653563.215000; -0.40; 0.00; -30.11
67667630.105000; -0.40; 0.00; -30.11
67684357.193000; -0.40; 0.00; -30.11
67699425.310000; -0.40; 0.00; -30.11
67714475.529000; -0.40; 0.00; -30.11
67730546.007000; -0.40; 0.00; -30.11
67748737.764000; -0.40; 0.00; -30.11
67764635.049000; -0.40; 0.00; -30.11
67779708.499000; -0.40; 0.00; -30.11
67796057.629000; -0.40; 0.00; -30.11
67810753.543000; -0.40; 0.00; -30.11
67830726.350000; -0.40; 0.00; -30.11
67843397.733000; -0.40; 0.00; -30.11
67860945.079000; -0.40; 0.00; -30.11
67880532.068000; -0.40; 0.00; -30.11
67890617.892000; -0.40; 0.00; -30.11
67906622.219000; -0.40; 0.00; -30.11
67926825.584000; -0.40; 0.00; -30.11
